ID	DM	DR	MM	XT	CE
evgLocus_FPS_535_XP_005093963.1_PREDICTED:_GTP-binding_nuclear_protein_Ran_[Aplysia_californica]	-0.047877235678404594	-0.03967765245142641	-0.03762775664468186	-0.0437774440649155	-0.0745258811660837
evgLocus_FPS_855_XP_005094049.1_PREDICTED:_protein_disulfide-isomerase_A5-like_[Aplysia_californica]	-0.4763054592880149	-0.47835535509475946	-0.6944143731256347	-0.6929794460609134	-0.6874447273827032
evgLocus_FPS_1362_XP_013095821.1_PREDICTED:_EF-hand_domain-containing_protein_D2-like_[Biomphalaria_glabrata]	-0.45990629283405854	-0.3922597312114885	-0.35331171088334207	-0.35126181507659754	-0.5275528544566286
evgLocus_FPS_2218_XP_013095706.1_PREDICTED:_synaptobrevin_homolog_YKT6-like_[Biomphalaria_glabrata]	-0.3410123360428748	-0.36971087733729846	-0.3758605647575321	-0.3922597312114885	-0.39635952282497755
evgLocus_FPS_3715_XP_005111860.1_PREDICTED:_peflin-like_[Aplysia_californica]	-0.4968044173554604	-0.47015577186778124	-0.4763054592880149	-0.45990629283405854	-0.5337025418768622
evgLocus_FPS_7621_XP_009044447.1_hypothetical_protein_LOTGIDRAFT_230007_[Lottia_gigantea]	-0.5132035838094168	-0.5214031670363949	-0.5234530628431394	-0.5152534796161613	-0.5152534796161613
evgLocus_FPS_8367_XP_012946260.1_PREDICTED:_ADP-ribosylation_factor_4-like_[Aplysia_californica]	-0.23031796247866926	-0.18932004634377833	-0.2057192127977347	-0.18932004634377833	-0.19751962957075653
evgLocus_FPS_8892_XP_005097179.1_PREDICTED:_ras-related_protein_Rab6_[Aplysia_californica]	-0.10117452665376281	-0.10322442246050736	-0.10732421407399645	-0.10732421407399645	-0.13602275536842012
evgLocus_FPS_107_XP_013077005.1_PREDICTED:_metal_homeostasis_factor_ATX1-like_[Biomphalaria_glabrata]	-0.6960542897710303	-0.7347973205185023	-0.7347973205185023	-0.7212680081939883	-0.7101985708375677
evgLocus_FPS_117_XP_013091593.1_PREDICTED:_ADP-ribosylation_factor_1_[Biomphalaria_glabrata]	-0.12782317214144193	-0.1401225469819092	-0.13602275536842012	-0.13602275536842012	-0.13397285956167557
evgLocus_FPS_159_AAY89300.1_guanine_nucleotide-binding_protein_Rho_[Biomphalaria_glabrata]	-0.10732421407399645	-0.09707473504027372	-0.10732421407399645	-0.11142400568748555	-0.14217244278865376
evgLocus_FPS_326_XP_013060919.1_PREDICTED:_calmodulin-like_[Biomphalaria_glabrata]	-0.713478404128359	-0.7142983624510568	-0.7142983624510568	-0.7142983624510568	-0.7007690501265428
evgLocus_FPS_515_XP_013067828.1_PREDICTED:_uncharacterized_protein_C45G9.7-like_[Biomphalaria_glabrata]	-0.5316526460701176	-0.6636659360244666	-0.7181931644838714	-0.6628459777017687	-0.5849499370454758
evgLocus_FPS_529_XP_005106382.1_PREDICTED:_synaptogyrin-2-like_[Aplysia_californica]	-0.5234530628431394	-0.41685848089242306	-0.47015577186778124	-0.44350712638010215	-0.6341474364073449
evgLocus_FPS_784_XP_005111963.1_PREDICTED:_mesencephalic_astrocyte-derived_neurotrophic_factor_homolog_[Aplysia_californica]	-0.5951994160791986	-0.5951994160791986	-0.5747004580117532	-0.593149520272454	-0.6259478531803668
evgLocus_FPS_1048_XP_012946824.1_PREDICTED:_myosin_regulatory_light_chain_(N-terminus)_isoform_X1_[Aplysia_californica]	-0.4660559802542922	-0.4496568138003358	-0.46195618864080307	-0.45785639702731395	-0.49270462574197127
evgLocus_FPS_1260_XP_013091283.1_PREDICTED:_ras-related_protein_Rab-2_[Biomphalaria_glabrata]	-0.047877235678404594	-0.03762775664468186	-0.04172754825817095	-0.047877235678404594	-0.03967765245142641
evgLocus_FPS_1375_XP_005094006.1_PREDICTED:_signal_recognition_particle_receptor_subunit_beta-like_[Aplysia_californica]	-0.47425556348127035	-0.4414572305733576	-0.4558065012205694	-0.4066090018587003	-0.5726505622050085
evgLocus_FPS_1448_XP_005093121.1_PREDICTED:_ADP-ribosylation_factor-like_protein_8A_[Aplysia_californica]	-0.13397285956167557	-0.11347390149423009	-0.11347390149423009	-0.11142400568748555	-0.15447181762912104
