	('DM', 'Type: Invertebrate')	('DR', 'Type: Vertebrate')	('MM', 'Type: Vertebrate')	('XT', 'Type: Vertebrate')	('CE', 'Type: Invertebrate')
('evgLocus_FPS_805_XP_014670791.1_PREDICTED:_clathrin_heavy_chain_1-like,_partial_[Priapulus_caudatus]', 'evgLocus_FPS_805_XP_014670791.1_PREDICTED:_clathrin_heavy_chain_1-like,_partial_[Priapulus_caudatus]')	-0.8093003168972879	-0.7970358023291513	-0.7990798880905073	-0.7990798880905073	-0.835873431794917
('evgLocus_FPS_1260_XP_013091283.1_PREDICTED:_ras-related_protein_Rab-2_[Biomphalaria_glabrata]', 'evgLocus_FPS_1260_XP_013091283.1_PREDICTED:_ras-related_protein_Rab-2_[Biomphalaria_glabrata]')	-0.24922081828571863	-0.23900038947893815	-0.24308856100165033	-0.24922081828571863	-0.24104447524029424
('evgLocus_FPS_3072_Q05974.1_RecName:_Full=Ras-related_protein_Rab-1A', 'evgLocus_FPS_3072_Q05974.1_RecName:_Full=Ras-related_protein_Rab-1A')	-0.28805844775148437	-0.2839702762287722	-0.2778380189447039	-0.2737498474219917	-0.324851991455894
('evgLocus_FPS_6687_XP_012943229.1_PREDICTED:_vesicle-associated_membrane_protein_7-like_[Aplysia_californica]', 'evgLocus_FPS_6687_XP_012943229.1_PREDICTED:_vesicle-associated_membrane_protein_7-like_[Aplysia_californica]')	-0.4781584235576009	-0.4372767083304791	-0.44545305137590346	-0.4311444510464108	-0.9096649277798718
('evgLocus_FPS_9614_XP_013061916.1_PREDICTED:_ras-related_protein_Rab-8A-like_[Biomphalaria_glabrata]', 'evgLocus_FPS_9614_XP_013061916.1_PREDICTED:_ras-related_protein_Rab-8A-like_[Biomphalaria_glabrata]')	-0.36982187820572804	-0.3514251063535232	-0.3514251063535232	-0.3534691921148793	-0.3841304785352207
('evgLocus_FX_16359_XP_013089263.1_PREDICTED:_golgin_subfamily_B_member_1-like_isoform_X3_[Biomphalaria_glabrata]', 'evgLocus_FX_16359_XP_013089263.1_PREDICTED:_golgin_subfamily_B_member_1-like_isoform_X3_[Biomphalaria_glabrata]')	-0.9018974018867189	-0.7295809722044002	-0.7398014010111807	-0.7173164576362637	-0.9286749253604836
('evgLocus_FX_16384_XP_012943161.1_PREDICTED:_laminin_subunit_alpha-like_isoform_X2_[Aplysia_californica]', 'evgLocus_FX_16384_XP_012943161.1_PREDICTED:_laminin_subunit_alpha-like_isoform_X2_[Aplysia_californica]')	3.5977485845864465	3.1133002591450527	2.902759425725375	1.3390338182879649	3.231857233303706
('evgLocus_FX_16566_XP_012943736.1_PREDICTED:_synaptotagmin-9-like_[Aplysia_californica]', 'evgLocus_FX_16566_XP_012943736.1_PREDICTED:_synaptotagmin-9-like_[Aplysia_californica]')	-0.49246702388709357	-0.24513264676300642	-0.23286813219486988	-0.2287799606721577	-0.5558336824891325
('evgLocus_FX_16591_XP_005103100.1_PREDICTED:_ras-related_protein_Rab-39B-like_isoform_X1_[Aplysia_californica]', 'evgLocus_FX_16591_XP_005103100.1_PREDICTED:_ras-related_protein_Rab-39B-like_isoform_X1_[Aplysia_californica]')	-0.4781584235576009	-0.5292605675915032	-0.5353928248755715	-0.5374369106369276	-0.5497014252050642
('evgLocus_FX_16684_XP_013085806.1_PREDICTED:_AP-1_complex_subunit_gamma-1-like_isoform_X2_[Biomphalaria_glabrata]', 'evgLocus_FX_16684_XP_013085806.1_PREDICTED:_AP-1_complex_subunit_gamma-1-like_isoform_X2_[Biomphalaria_glabrata]')	0.5704575720180742	1.0365091256072632	1.0610381547435364	0.7217199183584251	0.5725016577794304
