	('DM', 'Type: Invertebrate')	('DR', 'Type: Vertebrate')	('MM', 'Type: Vertebrate')	('XT', 'Type: Vertebrate')	('CE', 'Type: Invertebrate')
('evgLocus_FPS_535_XP_005093963.1_PREDICTED:_GTP-binding_nuclear_protein_Ran_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.012834231048468231	-0.0027897482430145897	-0.000278627541651179	-0.007811989645741411	-0.045478800166192566
('evgLocus_FPS_7621_XP_009044447.1_hypothetical_protein_LOTGIDRAFT_230007_[Lottia_gigantea]', 'Category: SV-Occupied Space')	-0.5828586302579625	-0.592903113063416	-0.5954142337647794	-0.5853697509593259	-0.5853697509593259
('evgLocus_FPS_8892_XP_005097179.1_PREDICTED:_ras-related_protein_Rab6_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.0781233692839169	-0.08063448998528032	-0.08565673138800714	-0.08565673138800714	-0.12081242120709489
('evgLocus_FPS_159_AAY89300.1_guanine_nucleotide-binding_protein_Rho_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.08565673138800714	-0.07310112788119008	-0.08565673138800714	-0.09067897279073396	-0.12834578331118512
('evgLocus_FPS_805_XP_014670791.1_PREDICTED:_clathrin_heavy_chain_1-like,_partial_[Priapulus_caudatus]', 'Category: Peri-Active Zone')	-0.7008813032220427	-0.6858145790138622	-0.6883256997152256	-0.6883256997152256	-0.7335258723397671
('evgLocus_FPS_1260_XP_013091283.1_PREDICTED:_ras-related_protein_Rab-2_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.012834231048468231	-0.000278627541651179	-0.005300868944378	-0.012834231048468231	-0.0027897482430145897
('evgLocus_FPS_1448_XP_005093121.1_PREDICTED:_ADP-ribosylation_factor-like_protein_8A_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.11830130050573147	-0.09319009349209736	-0.09319009349209736	-0.09067897279073396	-0.14341250751936557
('evgLocus_FPS_3072_Q05974.1_RecName:_Full=Ras-related_protein_Rab-1A', 'Category: SV-Occupied Space')	-0.06054552437437303	-0.05552328297164621	-0.04798992086755598	-0.042967679464829156	-0.10574569699891442
('evgLocus_FPS_4641_XP_013078011.1_PREDICTED:_ras-related_protein_Rap-1b_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.22627949066435812	-0.16601259383163627	-0.16099035242890944	-0.15596811102618263	-0.18359043874118014
('evgLocus_FPS_5721_NP_001298203.1_ras-related_C3_botulinum_toxin_substrate_1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.09067897279073396	-0.08816785208937054	-0.0756122485825535	-0.0756122485825535	-0.145923628220729
('evgLocus_FPS_6096_XP_013092585.1_PREDICTED:_ras-like_GTP-binding_protein_rhoA_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6330810442852306	-0.635592164986594	-0.6255476821811404	-0.6255476821811404	-0.6431255270906843
('evgLocus_FPS_6687_XP_012943229.1_PREDICTED:_vesicle-associated_membrane_protein_7-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.2940797496011702	-0.243857335573902	-0.25390181837935566	-0.23632397346981177	-0.8241773296589863
('evgLocus_FPS_7277_XP_013074490.1_PREDICTED:_ras-related_protein_Rap-2c-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.3895023362529798	-0.35685776713525547	-0.3543466464338921	-0.3593688878366189	-0.3794578534475262
('evgLocus_FPS_8064_NP_001298204.1_cdc42_homolog_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.0781233692839169	-0.08063448998528032	-0.08816785208937054	-0.1007234555961876	-0.09570121419346078
('evgLocus_FPS_9372_XP_013067627.1_PREDICTED:_ras-related_C3_botulinum_toxin_substrate_1-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.145923628220729	-0.23883509417117518	-0.23883509417117518	-0.23883509417117518	-0.25390181837935566
('evgLocus_FPS_9614_XP_013061916.1_PREDICTED:_ras-related_protein_Rab-8A-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.16099035242890944	-0.13839026611663877	-0.13839026611663877	-0.14090138681800216	-0.17856819733845333
('evgLocus_FPS_3970_XP_013089938.1_PREDICTED:_ras-related_protein_Rab-24-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.7008813032220427	-0.44725811238433827	-0.4372136295788846	-0.42465802607206754	-0.6883256997152256
('evgLocus_FPS_9845_XP_013063134.1_PREDICTED:_ras-related_protein_Rab-7a-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.1710348352343631	-0.0781233692839169	-0.08063448998528032	-0.08314561068664372	-0.2413462148725386
('evgLocus_FX_16359_XP_013089263.1_PREDICTED:_golgin_subfamily_B_member_1-like_isoform_X3_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.8146350709938053	-0.6029475958688697	-0.6155031993756868	-0.5878808716606893	-0.8475307521816658
('evgLocus_FX_16566_XP_012943736.1_PREDICTED:_synaptotagmin-9-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.31165759451071406	-0.007811989645741411	0.0072547345624390525	0.012276975965165873	-0.3895023362529798
('evgLocus_FX_16591_XP_005103100.1_PREDICTED:_ras-related_protein_Rab-39B-like_isoform_X1_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.2940797496011702	-0.35685776713525547	-0.3643911292393457	-0.36690224994070914	-0.3819689741488896
('evgLocus_FX_16650_NP_001191472.1_small_G-protein_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.2790130253929897	-0.2689685425875361	-0.2664574218861727	-0.27399078399026294	-0.3191909566148043
('evgLocus_FX_16684_XP_013085806.1_PREDICTED:_AP-1_complex_subunit_gamma-1-like_isoform_X2_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	0.9941251701982594	1.566660690109117	1.596794138525478	1.1799481020991518	0.9966362908996228
('evgLocus_FX_16820_XP_005110760.2_PREDICTED:_phosphatidylinositol_4-phosphate_3-kinase_C2_domain-containing_subunit_beta-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	1.3557265511945904	1.3632599132986807	1.3532154304932271	1.3029930164659589	0.5647235302651162
('evgLocus_FX_16881_XP_005108344.1_PREDICTED:_ras-related_protein_Rab-5C-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.3794578534475262	-0.40205793975979687	-0.3719244913434359	-0.3920134569543432	-0.4146135432666139
